mode,design,method,block,term,estimate,se
A1C,primary_no_usualcare,DR_CF_empirical_m,beta,const,1.0571570484865183,0.27762751300430566
A1C,primary_no_usualcare,DR_CF_empirical_m,beta,INSURED,1.1574606819059572,0.28652991077374756
A1C,primary_no_usualcare,DR_CF_empirical_m,beta,AGE_YEARS_Z,0.3767263614847338,0.14338336398474213
A1C,primary_no_usualcare,DR_CF_empirical_m,beta,BMI_Z,-0.09808277259344249,0.09247203808228989
A1C,primary_no_usualcare,DR_CF_empirical_m,beta,FEMALE,-0.6524488807369492,0.23197032476947452
A1C,primary_no_usualcare,DR_CF_structural_m,alpha,const,-1.9186004909842633,0.07358105525873619
A1C,primary_no_usualcare,DR_CF_structural_m,alpha,AGE_YEARS_Z,1.0274842416556875,0.049038540323778086
A1C,primary_no_usualcare,DR_CF_structural_m,alpha,BMI_Z,0.6438543359976139,0.04763101096232561
A1C,primary_no_usualcare,DR_CF_structural_m,alpha,FEMALE,-0.433487095647124,0.10031581642795732
A1C,primary_no_usualcare,DR_CF_structural_m,beta,const,1.0560625219613833,0.2775571340560074
A1C,primary_no_usualcare,DR_CF_structural_m,beta,INSURED,1.158169659379252,0.28649042496789234
A1C,primary_no_usualcare,DR_CF_structural_m,beta,AGE_YEARS_Z,0.377366914493634,0.14333255525678795
A1C,primary_no_usualcare,DR_CF_structural_m,beta,BMI_Z,-0.09998066732996902,0.09225271104689316
A1C,primary_no_usualcare,DR_CF_structural_m,beta,FEMALE,-0.6508316247770785,0.2318735963516753
A1C,full_covariate,OBS_ZIB,alpha,const,-1.4173154306745945,0.5029210103291004
A1C,full_covariate,OBS_ZIB,alpha,INSURED,0.14899695128881207,0.20174136566829923
A1C,full_covariate,OBS_ZIB,alpha,USUALCARE,-0.30173389729553907,0.44129200075085767
A1C,full_covariate,OBS_ZIB,alpha,AGE_YEARS_Z,0.6339782629848449,0.10849418464814507
A1C,full_covariate,OBS_ZIB,alpha,BMI_Z,0.6549517257773683,0.07334154778452515
A1C,full_covariate,OBS_ZIB,alpha,FEMALE,-0.6691021586534684,0.09113856219268623
A1C,full_covariate,OBS_ZIB,beta,const,1.2979864080543588,2.4482228965222235
A1C,full_covariate,OBS_ZIB,beta,INSURED,0.07911701511844119,0.6518857834325771
A1C,full_covariate,OBS_ZIB,beta,USUALCARE,0.37280946011368554,2.196239670500133
A1C,full_covariate,OBS_ZIB,beta,AGE_YEARS_Z,2.9243674003533897,0.6934730528133822
A1C,full_covariate,OBS_ZIB,beta,BMI_Z,-0.1772097757634854,0.20622141502861732
A1C,full_covariate,OBS_ZIB,beta,FEMALE,1.1307494108119536,0.5624467148310912
A1C,full_covariate,PR_MLE_corrected,alpha,const,-1.7050891952848877,0.4244735058833767
A1C,full_covariate,PR_MLE_corrected,alpha,INSURED,-0.15334007257089877,0.12185841444458363
A1C,full_covariate,PR_MLE_corrected,alpha,USUALCARE,-0.08244194630979154,0.41127186538198063
A1C,full_covariate,PR_MLE_corrected,alpha,AGE_YEARS_Z,1.0389688302249516,0.04280935075789814
A1C,full_covariate,PR_MLE_corrected,alpha,BMI_Z,0.6467051784277482,0.035371717127600434
A1C,full_covariate,PR_MLE_corrected,alpha,FEMALE,-0.4306158720581838,0.07103535676857461
A1C,full_covariate,PR_MLE_corrected,beta,const,19.775614121368132,0.1228477161398924
A1C,full_covariate,PR_MLE_corrected,beta,INSURED,1.1539124629895532,0.24976003965477955
A1C,full_covariate,PR_MLE_corrected,beta,USUALCARE,-18.725375358304625,0.12284772755696637
A1C,full_covariate,PR_MLE_corrected,beta,AGE_YEARS_Z,0.3761542137724655,0.12220325820252985
A1C,full_covariate,PR_MLE_corrected,beta,BMI_Z,-0.10073248447796485,0.08739336089841239
A1C,full_covariate,PR_MLE_corrected,beta,FEMALE,-0.6439875253461219,0.18812738524963588
A1C,full_covariate,DR_CF_empirical_m,alpha,const,-1.706205394498113,0.45573994808952817
A1C,full_covariate,DR_CF_empirical_m,alpha,INSURED,-0.15293284978587013,0.14194368830088552
A1C,full_covariate,DR_CF_empirical_m,alpha,USUALCARE,-0.08222808051156051,0.4426420645081468
A1C,full_covariate,DR_CF_empirical_m,alpha,AGE_YEARS_Z,1.0396118053862098,0.051336724057994124
A1C,full_covariate,DR_CF_empirical_m,alpha,BMI_Z,0.6457248655485188,0.04751160909360252
A1C,full_covariate,DR_CF_empirical_m,alpha,FEMALE,-0.430288320671705,0.10078999431264922
A1C,full_covariate,DR_CF_empirical_m,beta,const,19.776057732420103,0.13863540440413735
A1C,full_covariate,DR_CF_empirical_m,beta,INSURED,1.1536465373457963,0.28641179917091586
A1C,full_covariate,DR_CF_empirical_m,beta,USUALCARE,-18.723261283652125,0.1386354044514896
A1C,full_covariate,DR_CF_empirical_m,beta,AGE_YEARS_Z,0.3728088430453355,0.143418334096713
A1C,full_covariate,DR_CF_empirical_m,beta,BMI_Z,-0.09731835113600695,0.09227871660565558
A1C,full_covariate,DR_CF_empirical_m,beta,FEMALE,-0.6464484536831094,0.23214264372610538
A1C,full_covariate,DR_CF_structural_m,alpha,const,-1.705972175663608,0.45576412085828893
A1C,full_covariate,DR_CF_structural_m,alpha,INSURED,-0.15296781858609673,0.1419360237905333
A1C,full_covariate,DR_CF_structural_m,alpha,USUALCARE,-0.08234270569747566,0.4426687329623357
A1C,full_covariate,DR_CF_structural_m,alpha,AGE_YEARS_Z,1.0395321687759131,0.051337261649960546
A1C,full_covariate,DR_CF_structural_m,alpha,BMI_Z,0.6462130211830118,0.04755343896720282
A1C,full_covariate,DR_CF_structural_m,alpha,FEMALE,-0.43048590037396334,0.10079588891412565
A1C,full_covariate,DR_CF_structural_m,beta,const,19.77596086685698,0.13863648506774057
A1C,full_covariate,DR_CF_structural_m,beta,INSURED,1.1538430853721569,0.2864207274298455
A1C,full_covariate,DR_CF_structural_m,beta,USUALCARE,-18.723722906577837,0.13863648511504736
A1C,full_covariate,DR_CF_structural_m,beta,AGE_YEARS_Z,0.3736732134183344,0.1433472144751153
A1C,full_covariate,DR_CF_structural_m,beta,BMI_Z,-0.09956140257598958,0.09201241746727151
A1C,full_covariate,DR_CF_structural_m,beta,FEMALE,-0.6449530074878737,0.2320505933831536
FPG,primary_no_usualcare,OBS_ZIB,alpha,const,-1.0298172092590938,0.5470114096687141
FPG,primary_no_usualcare,OBS_ZIB,alpha,AGE_YEARS_Z,0.26851068434140674,0.3172340631434177
FPG,primary_no_usualcare,OBS_ZIB,alpha,BMI_Z,0.6158603146295653,0.13202312624147997
FPG,primary_no_usualcare,OBS_ZIB,alpha,FEMALE,-0.8331285803554009,0.18468125085121748
FPG,primary_no_usualcare,OBS_ZIB,beta,const,-0.3079690058060938,0.8702916001774991
FPG,primary_no_usualcare,OBS_ZIB,beta,INSURED,0.5093751142119947,0.42174708040791653
FPG,primary_no_usualcare,OBS_ZIB,beta,AGE_YEARS_Z,2.1170970988461986,0.39579658122128536
FPG,primary_no_usualcare,OBS_ZIB,beta,BMI_Z,0.35714694698650473,0.2583559750014198
FPG,primary_no_usualcare,OBS_ZIB,beta,FEMALE,0.5353938729069729,0.4234097821228321
FPG,primary_no_usualcare,PR_MLE_corrected,alpha,const,-1.7372328338040997,0.06972915506665904
FPG,primary_no_usualcare,PR_MLE_corrected,alpha,AGE_YEARS_Z,1.0135510809208963,0.05690848787281054
FPG,primary_no_usualcare,PR_MLE_corrected,alpha,BMI_Z,0.7786338220963354,0.05054342315723087
FPG,primary_no_usualcare,PR_MLE_corrected,alpha,FEMALE,-0.5776518754735377,0.09825116669284889
FPG,primary_no_usualcare,PR_MLE_corrected,beta,const,0.6320808176621123,0.30144680098133847
FPG,primary_no_usualcare,PR_MLE_corrected,beta,INSURED,0.7704185265752295,0.30638209158444446
FPG,primary_no_usualcare,PR_MLE_corrected,beta,AGE_YEARS_Z,0.23876852875707638,0.1325953434322277
FPG,primary_no_usualcare,PR_MLE_corrected,beta,BMI_Z,-0.09241480781080894,0.09539761674720745
FPG,primary_no_usualcare,PR_MLE_corrected,beta,FEMALE,-0.2708824493292042,0.2035890440129268
FPG,primary_no_usualcare,DR_CF_empirical_m,alpha,const,-1.7372325720104365,0.103053970525236
FPG,primary_no_usualcare,DR_CF_empirical_m,alpha,AGE_YEARS_Z,1.0135511652834213,0.06936590594628622
FPG,primary_no_usualcare,DR_CF_empirical_m,alpha,BMI_Z,0.7786338515833643,0.06908739361464065
FPG,primary_no_usualcare,DR_CF_empirical_m,alpha,FEMALE,-0.5776522816574086,0.13759737114093998
FPG,primary_no_usualcare,DR_CF_empirical_m,beta,const,0.6320789510563676,0.3508959362585588
FPG,primary_no_usualcare,DR_CF_empirical_m,beta,INSURED,0.7704201901477373,0.3820304022622426
FPG,primary_no_usualcare,DR_CF_empirical_m,beta,AGE_YEARS_Z,0.2387688963440296,0.177419620787889
FPG,primary_no_usualcare,DR_CF_empirical_m,beta,BMI_Z,-0.09241441574641417,0.11144588839071747
FPG,primary_no_usualcare,DR_CF_empirical_m,beta,FEMALE,-0.27088234560049557,0.27248231888653024
FPG,primary_no_usualcare,DR_CF_structural_m,alpha,const,-1.737232571628756,0.10305397043791847
FPG,primary_no_usualcare,DR_CF_structural_m,alpha,AGE_YEARS_Z,1.013551165924428,0.06936590594411236
FPG,primary_no_usualcare,DR_CF_structural_m,alpha,BMI_Z,0.7786338280998272,0.06908739392445361
FPG,primary_no_usualcare,DR_CF_structural_m,alpha,FEMALE,-0.5776522765788672,0.13759737127488816
FPG,primary_no_usualcare,DR_CF_structural_m,beta,const,0.6320789083121233,0.35089593161118515
FPG,primary_no_usualcare,DR_CF_structural_m,beta,INSURED,0.7704202359878228,0.3820303986559143
FPG,primary_no_usualcare,DR_CF_structural_m,beta,AGE_YEARS_Z,0.2387688816055657,0.17741962208045373
FPG,primary_no_usualcare,DR_CF_structural_m,beta,BMI_Z,-0.09241436136609875,0.11144589297155223
FPG,primary_no_usualcare,DR_CF_structural_m,beta,FEMALE,-0.2708823690013441,0.2724823197625454
FPG,full_covariate,OBS_ZIB,alpha,const,-0.17087903503156535,1.2588821290898728
FPG,full_covariate,OBS_ZIB,alpha,INSURED,-0.09503582336322217,0.43687018866509364
FPG,full_covariate,OBS_ZIB,alpha,USUALCARE,-0.7687272379202431,1.0586505450016968
FPG,full_covariate,OBS_ZIB,alpha,AGE_YEARS_Z,0.2555324382928988,0.30188790085009126
FPG,full_covariate,OBS_ZIB,alpha,BMI_Z,0.6083222191931414,0.12963831641783566
FPG,full_covariate,OBS_ZIB,alpha,FEMALE,-0.8124691828053593,0.1772397637632516
FPG,full_covariate,OBS_ZIB,beta,const,-2.1466899600374676,1.6295001598169165
FPG,full_covariate,OBS_ZIB,beta,INSURED,0.6293338702606633,0.658240399057237
FPG,full_covariate,OBS_ZIB,beta,USUALCARE,1.7501826591565244,1.7291139435190281
FPG,full_covariate,OBS_ZIB,beta,AGE_YEARS_Z,2.1444051861233024,0.3773604836294316
FPG,full_covariate,OBS_ZIB,beta,BMI_Z,0.3757397174758109,0.24877271134840492
FPG,full_covariate,OBS_ZIB,beta,FEMALE,0.4616640611258576,0.42429448397547037
FPG,full_covariate,PR_MLE_corrected,alpha,const,-1.7475945218748268,0.5837924575911511
FPG,full_covariate,PR_MLE_corrected,alpha,INSURED,-0.06431157185561621,0.16610786723947302
FPG,full_covariate,PR_MLE_corrected,alpha,USUALCARE,0.065797039596297,0.5629141566385246
FPG,full_covariate,PR_MLE_corrected,alpha,AGE_YEARS_Z,1.0189042072180479,0.05859490270995864
FPG,full_covariate,PR_MLE_corrected,alpha,BMI_Z,0.77928278626907,0.05062669890666378
FPG,full_covariate,PR_MLE_corrected,alpha,FEMALE,-0.5759795987551196,0.09835262397424085
FPG,full_covariate,PR_MLE_corrected,beta,const,2.1468127824752012,2.358531819133543
FPG,full_covariate,PR_MLE_corrected,beta,INSURED,0.7712033809124734,0.3065360225202907
FPG,full_covariate,PR_MLE_corrected,beta,USUALCARE,-1.5219630223838418,2.3453067488326163
FPG,full_covariate,PR_MLE_corrected,beta,AGE_YEARS_Z,0.23459613559609083,0.13270031575202476
FPG,full_covariate,PR_MLE_corrected,beta,BMI_Z,-0.09176639149247556,0.09532100043202459
FPG,full_covariate,PR_MLE_corrected,beta,FEMALE,-0.2659448069280561,0.20365847802635745
FPG,full_covariate,DR_CF_empirical_m,alpha,const,-1.7476059787184943,0.587511182291125
FPG,full_covariate,DR_CF_empirical_m,alpha,INSURED,-0.06431446202609069,0.19533129876875208
FPG,full_covariate,DR_CF_empirical_m,alpha,USUALCARE,0.06581092767391407,0.5617529748029311
FPG,full_covariate,DR_CF_empirical_m,alpha,AGE_YEARS_Z,1.0189048934988354,0.07325285190369397
FPG,full_covariate,DR_CF_empirical_m,alpha,BMI_Z,0.7792824173152454,0.06920672619441158
FPG,full_covariate,DR_CF_empirical_m,alpha,FEMALE,-0.5759796483954037,0.1382365606689912
FPG,full_covariate,DR_CF_empirical_m,beta,const,2.1468189396125252,1.140784030370684
FPG,full_covariate,DR_CF_empirical_m,beta,INSURED,0.7711968687365804,0.3823760715171574
FPG,full_covariate,DR_CF_empirical_m,beta,USUALCARE,-1.5219648066972757,1.111399987498369
FPG,full_covariate,DR_CF_empirical_m,beta,AGE_YEARS_Z,0.23459833168911542,0.17766336665838225
FPG,full_covariate,DR_CF_empirical_m,beta,BMI_Z,-0.09176640577561455,0.11131041622280395
FPG,full_covariate,DR_CF_empirical_m,beta,FEMALE,-0.26594400851915095,0.27275289070196246
FPG,full_covariate,DR_CF_structural_m,alpha,const,-1.747605963055549,0.5875111735037994
FPG,full_covariate,DR_CF_structural_m,alpha,INSURED,-0.06431446683812048,0.1953312987532926
FPG,full_covariate,DR_CF_structural_m,alpha,USUALCARE,0.06581091569739185,0.5617529655737066
FPG,full_covariate,DR_CF_structural_m,alpha,AGE_YEARS_Z,1.0189048941751448,0.07325285187773145
FPG,full_covariate,DR_CF_structural_m,alpha,BMI_Z,0.7792823952508102,0.06920672620656532
FPG,full_covariate,DR_CF_structural_m,alpha,FEMALE,-0.5759796420316354,0.1382365606639766
FPG,full_covariate,DR_CF_structural_m,beta,const,2.1468186703223875,1.1407838056708164
FPG,full_covariate,DR_CF_structural_m,beta,INSURED,0.7711968817621622,0.38237607235862675
FPG,full_covariate,DR_CF_structural_m,beta,USUALCARE,-1.5219645503987809,1.111399755277375
FPG,full_covariate,DR_CF_structural_m,beta,AGE_YEARS_Z,0.23459832226551422,0.17766336750312461
FPG,full_covariate,DR_CF_structural_m,beta,BMI_Z,-0.09176635395049708,0.11131042030803932
FPG,full_covariate,DR_CF_structural_m,beta,FEMALE,-0.26594403613833717,0.2727528914092188
